,Date,Team Name,Opponent,Result,G,Goals,Assists,Points,Shots,SOG,Man-Up G,Man-Down G,GB,TO,CT,FO Won,FOs Taken,Pen,Pen Time,G Min,Goals Allowed,Saves,W,L,T,RC,YC,Clears,Att,Clear Pct,OTG,Opp_G,Opp_Goals,Opp_Assists,Opp_Points,Opp_Shots,Opp_SOG,Opp_Man-Up G,Opp_Man-Down G,Opp_GB,Opp_TO,Opp_CT,Opp_FO Won,Opp_FOs Taken,Opp_Pen,Opp_Pen Time,Opp_G Min,Opp_Goals Allowed,Opp_Saves,Opp_W,Opp_L,Opp_T,Opp_RC,Opp_YC,Opp_Clears,Opp_Att,Opp_Clear Pct,Opp_OTG,Year
118,04/20/2019,Bucknell,@ Lehigh,12-10,1,12,8,20,37,20,,,35,19,10,8,25,5,180,60:00,10,15,,,,,,17,22,0.773,,1,10,8,18,45,25,1,,34,21,13,17,25,5,240,60:00,12,8,,,,,,17,21,0.810,,2019
119,04/26/2019,Bucknell,Colgate,10-8,1,10,7,17,42,23,1,,33,21,8,13,22,4,180,60:00,8,14,,,,,,18,20,0.900,,1,8,6,14,39,22,,,26,14,10,9,22,4,210,60:00,10,13,,,,,,14,19,0.737,,2019
120,04/30/2019,Bucknell,@ Boston U.,8-14,1,8,3,11,46,23,2,,43,26,11,11,26,2,60,60:00,14,17,,,,,,21,34/,0.618,,1,14,8,22,45,31,,,53,24,13,15,26,5,210,60:00,8,15,,,,,,19,24,0.792,,2019
121,02/09/2019,Canisius,@ Hobart,12-21,1,12,6,18,41,22,2,,22,20,3,14,37,4,240,60:00,21,15,,,,,,17,19,0.895,,1,21,13,34,59,36,2,,37,15,8,23,37,5,270,60:00,12,10,,,,,,19,19,1.000/,,2019
122,02/16/2019,Canisius,@ Mercer,13-10,1,13,8,21,45,20,4/,,22,16,8,11,26,4,120,60:00,10,14,,,,,,19,22,0.864,,1,10,6,16,37,24,1,,26,18,11,15,26,6,300,60:00,13,7,,,,,,19,19,1.000/,,2019
123,02/19/2019,Canisius,@ Furman,10-12,1,10,6,16,33,23,2,,30,20,7,16,26,1,60,60:00,12,14,,,,,,16,19,0.842,,1,12,9,21,37,26,,,27,16,9,10,26,2,120,60:00,10,13,,,,,,13,18,0.722,,2019
124,02/23/2019,Canisius,Hartford,16-12,1,16,8,24,40,24,2,,30,20,7,19,32,3,180,60:00,12,14,,,,,,19,20,0.950,,1,12,4,16,37,26,1,,29,16,4,13,32,5,210,60:00,16,8,,,,,,18,22,0.818,,2019
125,03/02/2019,Canisius,Air Force,7-13,1,7,3,10,25,15,2,,24,22,6,9,23,3,120,60:00,13,9,,,,,,15,21,0.714,,1,13,5,18,40,22,1,,39,18,13,14,23,5,270,60:00,7,8,,,,,,15,17,0.882,,2019
126,03/09/2019,Canisius,@ Robert Morris,12-8,1,12,4,16,34,24,2,,33,21,9,10,24,1,30,60:00,8,15,,,,,,15,23,0.652,,1,8,6,14,43,23,1,,38,18,14,14,24,2,90,60:00,12,12,,,,,,18,21,0.857,,2019
127,03/16/2019,Canisius,Colgate,8-6,1,8,5,13,21,15,,,32,24,5,10,17,1,60,60:00,6,16,,,,,,18,29,0.621,,1,6,2,8,43,22,1,,34,19,9,7,17,3,120,60:00,8,7,,,,,,15,18,0.833,,2019
128,03/23/2019,Canisius,Siena,8-9,1,8,5,13,29,14,,,22,21,8,9,21,,,60:00,9,11,,,,,,16,20,0.800,,1,9,2,11,40,20,,,30,17,7,12,21,1,30,60:00,8,6,,,,,,14,18,0.778,,2019
129,03/30/2019,Canisius,@ Monmouth,12-2,1,12,3,15,33,17,1,,31,17,8,11,17,2,120,58:48,2,13,,,,,,15,17,0.882,,1,2,1,3,30,15,,,29,16,7,6,17,1,60,58:48,12,5,,,,,,14,18,0.778,,2019
130,04/02/2019,Canisius,@ Cleveland St.,10-19,1,10,4,14,31,18,4/,,23,17,4,11,32,3,240,60:00,19,7,,,,,,13,21,0.619,,1,19,13,32,49,26,4,,31,19,12,21,32,6,270,60:00,10,8,,,,,,16,18,0.889,,2019
131,04/06/2019,Canisius,Quinnipiac,10-7,1,10,3,13,40,23,,,29,16,6,10,20,2,120,60:00,7,7,,,,,,17,20,0.850,,1,7,4,11,40,14,1,,27,17,8,10,20,4,240,60:00,10,13,,,,,,13,17,0.765,,2019
132,04/09/2019,Canisius,@ St. Bonaventure,16-8,1,16,10,26,37,26,3,,35,17,6,17,27,4,240,60:00,8,9,,,,,,19,21,0.905,,1,8,2,10,34,17,1,,19,15,5,10,27,7,360,60:00,16,10,,,,,,11,16,0.688,,2019
133,04/13/2019,Canisius,@ Detroit Mercy,11-8,1,11,9,20,34,18,1,,28,19,11,11,22,3,120,60:00,8,10,,,,,,18,21,0.857,,1,8,8,16,31,18,1,,30,21,13,11,22,5,270,60:00,11,7,,,,,,15,19,0.789,,2019
134,04/19/2019,Canisius,@ Manhattan,6-7,1,6,1,7,41,17,,,37,14,10,12,16,3,120,60:00,7,13,,,,,,13,16,0.813,,1,7,5,12,36,20,1,,19,13,10,4,16,,,60:00,6,11,,,,,,13,17,0.765,,2019
135,04/26/2019,Canisius,Marist,8-10,1,8,3,11,29,17,,,25,15,10,4,21,4,210,60:00,10,6,,,,,,17,19,0.895,,1,10,4,14,31,16,2,,35,22,2,17,21,4,180,60:00,8,9,,,,,,10,14,0.714,,2019
136,05/02/2019,Canisius,@ Marist,10-11,1,10,5,15,31,17,1,,21,19,6,12,25,,,60:00,11,12,,,,,,14,18,0.778,,1,11,8,19,31,23,,,32,15,10,13,25,4,210,60:00,10,7,,,,,,15,19,0.789,,2019
137,02/02/2019,Cleveland St.,@ Ohio St.,9-12,1,9,4,13,37,25,3,,24,11,4,13,25,6,300,60:00,12,11,,,,,,17,18,0.944,,1,12,6,18,32,23,,,31,14,3,12,25,7,330,60:00,9,16,,,,,,17,19,0.895,,2019
138,02/09/2019,Cleveland St.,Michigan,8-10,1,8,2,10,30,17,,,30,21,7,12,20,5,240,60:00,10,13,,,,,,17,19,0.895,,1,10,7,17,45,23,,,25,17,9,8,20,3,150,60:00,8,9,,,,,,12,17,0.706,,2019
139,02/16/2019,Cleveland St.,Bellarmine,17-8,1,17,13,30,46,35,3,,39,23,9,25,28,4,180,60:00,8,5,,,,,,12,13,0.923,,1,8,4,12,25,13,2,,22,20,8,3,28,5,330,60:00,17,18,,,,,,21,30,0.700,,2019
140,02/23/2019,Cleveland St.,"Air Force
@ Denver, Colo.",8-11,1,8,4,12,25,14,1,,23,20,8,6,22,2,120,60:00,11,11,,,,,,18,24,0.750,,1,11,7,18,37,22,,,33,20,8,16,22,6,300,60:00,8,6,,,,,,16,23,0.696,,2019
