,Date,Team Name,Opponent,Result,G,Goals,Assists,Points,Shots,SOG,Man-Up G,GB,TO,CT,FO Won,FOs Taken,Pen,Goals Allowed,Saves,W,L,Clear Pct,Opp_Goals,Opp_Assists,Opp_Points,Opp_Shots,Opp_SOG,Opp_Man-Up G,Opp_GB,Opp_TO,Opp_CT,Opp_FO Won,Opp_FOs Taken,Opp_Pen,Opp_Saves,Opp_Clear Pct,Year,Home,Away,Location,OT,Distance Traveled
46,02162019,binghamton,colgate,10-16,1,10,8,18,35,20,0,23,17,9,10,28,7,16,15,0,1,0.889,16,8,24,43,31,2,27,17,5,18,28,2,10,0.722,2019,1.0,0.0,Binghamton,0.0,0.0
47,02232019,binghamton, lafayette,12-13,1,12,7,19,37,24,0,29,21,10,13,28,5,13,11,0,1,0.722,13,10,23,35,24,0,35,19,10,15,28,3,12,0.625,2019,0.0,1.0,Lafayette,0.0,
48,03022019,binghamton,hobart,7-16,1,7,3,10,39,22,1,32,16,11,7,27,7,16,23,0,1,0.774,16,11,27,66,39,3,37,18,8,20,27,2,15,0.926,2019,1.0,0.0,Binghamton,0.0,0.0
49,03092019,binghamton, delaware,6-10,1,6,3,9,29,19,1,21,21,15,6,20,2,10,14,0,1,0.778,10,5,15,41,24,1,27,24,8,14,20,3,13,0.905,2019,0.0,1.0,Delaware,0.0,201.43422167468268
50,03122019,binghamton,army west point,6-15,1,6,2,8,25,15,0,27,24,8,14,25,2,15,12,0,1,0.667,15,10,25,45,27,0,32,18,7,11,25,0,9,0.826,2019,1.0,0.0,Binghamton,0.0,0.0
51,03162019,binghamton, dartmouth,7-11,1,7,5,12,44,22,1,30,21,14,8,21,3,11,9,0,1,0.7,11,9,20,37,20,1,35,27,10,13,21,7,15,0.708,2019,0.0,1.0,Dartmouth,0.0,217.39004223719357
52,03232019,binghamton,ualbany,7-12,1,7,5,12,38,24,0,22,12,4,8,22,3,12,13,0,1,0.933,12,8,20,34,25,1,20,17,1,14,22,1,17,0.941,2019,1.0,0.0,Binghamton,0.0,0.0
53,03292019,binghamton, stony brook,6-13,1,6,2,8,28,19,1,19,14,3,10,21,4,13,13,0,1,0.895,13,3,16,38,26,1,31,12,6,11,21,5,13,1.000,2019,0.0,1.0,Stony Brook,0.0,168.68439078256495
54,04062019,binghamton, umbc,6-13,1,6,4,10,24,19,0,18,17,3,10,22,3,13,10,0,1,0.792,13,5,18,34,23,1,28,21,6,12,22,1,13,1.000,2019,0.0,1.0,UMBC,0.0,199.45438971040272
55,04132019,binghamton,vermont,6-14,1,6,3,9,34,19,1,21,17,13,9,23,3,14,6,0,1,0.882,14,12,26,33,20,3,34,22,10,14,23,7,13,0.750,2019,1.0,0.0,Binghamton,0.0,0.0
56,04162019,binghamton, sacred heart,9-17,1,9,6,15,23,17,2,27,28,8,13,28,3,17,21,0,1,0.8,17,7,24,54,38,1,46,16,16,15,28,7,8,0.958,2019,0.0,1.0,Sacred Heart,0.0,153.20684753576293
57,04202019,binghamton,hartford,15-12,1,15,11,26,59,30,1,31,13,8,17,31,4,12,19,1,0,0.87,12,10,22,43,31,3,34,14,3,14,31,3,15,0.762,2019,1.0,0.0,Binghamton,0.0,0.0
58,04262019,binghamton, umass lowell,9-7,1,9,6,15,31,18,0,34,21,14,8,20,6,7,10,1,0,0.762,7,3,10,43,17,1,30,25,9,12,20,5,9,0.733,2019,0.0,1.0,UMass Lowell,0.0,241.2936256597291
59,02032019,boston u, providence,8-7,1,8,3,11,38,18,0,28,23,10,11,19,2,7,24,1,0,0.633,7,3,10,48,31,0,27,12,10,8,19,2,10,0.900,2019,0.0,1.0,Providence,0.0,
60,02092019,boston u, ohio st,10-17,1,10,9,19,52,21,2,25,11,10,11,30,4,17,5,0,1,0.842,17,6,23,33,22,1,41,17,5,19,30,6,11,0.941,2019,0.0,1.0,Ohio St,0.0,
61,02162019,boston u,dartmouth,15-8,1,15,10,25,46,26,2,38,18,10,16,26,3,8,4,1,0,0.938,8,6,14,26,12,1,39,24,10,10,26,4,11,0.688,2019,1.0,0.0,Boston U,0.0,0.0
