,Date,Team Name,Opponent,Result,G,Goals,Assists,Points,Shots,SOG,Man-Up G,GB,TO,CT,FO Won,FOs Taken,Pen,Goals Allowed,Saves,W,L,Clear Pct,Opp_Goals,Opp_Assists,Opp_Points,Opp_Shots,Opp_SOG,Opp_Man-Up G,Opp_GB,Opp_TO,Opp_CT,Opp_FO Won,Opp_FOs Taken,Opp_Pen,Opp_Saves,Opp_Clear Pct,Year,Home,Away,Location,OT
67,04072018,boston u,army west point,8-7,1,8,6,14,38,17,3,28,13,7,8,19,1,7,18,1,0,0.765,7,5,12,38,25,1,28,12,8,11,19,6,9,0.917,2018,1.0,0.0,Boston U,0.0
68,04142018,boston u, loyola maryland,9-23,1,9,4,13,22,17,1,29,19,4,17,35,1,23,14,0,1,0.857,23,16,39,49,37,1,42,10,11,18,35,1,8,0.792,2018,0.0,1.0,Loyola Maryland,0.0
69,04202018,boston u, holy cross,9-4,1,9,6,15,21,13,2,22,17,5,4,15,5,4,10,1,0,0.852,4,4,8,43,14,2,16,13,8,11,15,4,4,0.737,2018,0.0,1.0,Holy Cross,0.0
70,04242018,boston u, bucknell,12-11,1,12,10,22,25,17,2,33,12,8,12,26,4,11,12,1,0,0.8,11,5,16,38,23,0,27,11,4,14,26,2,5,0.647,2018,0.0,1.0,Bucknell,0.0
71,04272018,boston u, loyola maryland,8-13,1,8,5,13,25,17,0,36,14,4,18,25,4,13,13,0,1,0.905,13,6,19,39,26,0,36,10,6,7,25,4,9,0.826,2018,0.0,1.0,Loyola Maryland,0.0
72,05062018,boston u, duke,9-13,1,9,4,13,43,19,1,36,16,4,17,26,1,13,12,0,1,0.727,13,8,21,35,25,1,29,10,5,9,26,3,10,1.000,2018,0.0,1.0,Duke,0.0
73,02172018,brown, quinnipiac,11-12 ,1,11,5,16,40,21,2,18,9,8,8,27,0,12,11,0,1,0.933,12,4,16,43,23,0,31,15,5,19,27,4,10,0.812,2018,0.0,1.0,Quinnipiac,1.0
74,02242018,brown, stony brook,18-11,1,18,9,27,38,26,2,33,17,6,21,32,2,11,12,1,0,1.0,11,9,20,37,23,1,22,13,7,11,32,4,8,0.714,2018,0.0,1.0,Stony Brook,0.0
75,03032018,brown,rutgers,8-10,1,8,4,12,39,13,1,28,15,8,10,21,3,10,20,0,1,0.727,10,5,15,39,30,0,31,14,6,11,21,2,5,0.818,2018,1.0,0.0,Brown,0.0
76,03062018,brown, villanova,12-9,1,12,5,17,40,20,1,24,13,6,14,23,0,9,17,1,0,1.0,9,4,13,43,26,0,23,9,6,9,23,3,8,0.909,2018,0.0,1.0,Villanova,0.0
77,03172018,brown, harvard,8-10,1,8,8,16,45,25,1,34,14,7,14,23,4,10,9,0,1,0.933,10,8,18,31,19,1,32,19,7,9,23,4,17,0.909,2018,0.0,1.0,Harvard,0.0
78,03202018,brown, holy cross,19-8,1,19,10,29,33,24,1,31,21,10,14,30,7,8,13,1,0,0.8,8,4,12,43,21,0,28,23,11,16,30,6,5,0.810,2018,0.0,1.0,Holy Cross,0.0
79,03242018,brown,massachusetts,12-14,1,12,8,20,43,27,0,36,16,8,16,29,7,14,18,0,1,0.857,14,6,20,50,32,3,34,14,8,13,29,4,15,0.917,2018,1.0,0.0,Brown,0.0
80,03312018,brown,princeton,14-13,1,14,8,22,49,31,1,39,15,7,16,31,2,13,17,1,0,0.895,13,9,22,39,30,1,30,15,5,15,31,1,17,0.857,2018,1.0,0.0,Brown,0.0
81,04072018,brown, penn,10-9,1,10,4,14,27,18,2,26,16,5,14,21,1,9,9,1,0,0.938,9,3,12,39,18,0,19,11,8,7,21,5,8,0.857,2018,0.0,1.0,Penn,0.0
82,04142018,brown,yale,15-27,1,15,10,25,41,27,3,40,13,3,21,43,4,27,18,0,1,0.625,27,15,42,67,45,3,45,8,8,22,43,7,12,0.938,2018,1.0,0.0,Brown,0.0
83,04172018,brown,providence,11-12 ,1,11,7,18,41,20,4,25,9,6,14,26,6,12,13,0,1,0.929,12,6,18,42,25,2,27,13,2,12,26,5,9,0.889,2018,1.0,0.0,Brown,1.0
84,04212018,brown, cornell,5-19,1,5,3,8,33,16,0,30,21,2,17,26,1,19,14,0,1,0.875,19,15,34,46,33,0,37,6,10,9,26,4,11,0.955,2018,0.0,1.0,Cornell,0.0
85,04242018,brown,bryant,9-17,1,9,6,15,34,17,1,25,15,6,12,29,6,17,10,0,1,0.944,17,10,27,40,27,2,36,15,6,17,29,2,8,0.882,2018,1.0,0.0,Brown,0.0
86,04282018,brown,dartmouth,20-6,1,20,12,32,54,32,1,41,13,5,18,29,2,6,12,1,0,0.895,6,4,10,33,18,1,21,13,7,11,29,3,12,0.824,2018,1.0,0.0,Brown,0.0
87,05042018,brown,cornell,4-7,1,4,3,7,42,23,2,23,17,5,9,14,1,7,14,0,1,0.842,7,6,13,32,21,0,23,12,11,5,14,5,19,0.833,2018,0.0,1.0,New York NY,0.0
88,02032018,bryant,manhattan,15-7,1,15,4,19,48,22,1,31,10,4,19,25,1,7,9,1,0,0.933,7,5,12,21,16,0,15,9,4,6,25,2,7,0.857,2018,1.0,0.0,Bryant,0.0
89,02102018,bryant,bucknell,12-14,1,12,7,19,41,23,1,32,10,5,19,30,1,14,8,0,1,1.0,14,8,22,36,22,0,20,9,6,11,30,1,11,0.867,2018,1.0,0.0,Bryant,0.0
90,02172018,bryant, providence,8-13,1,8,0,8,32,21,0,33,14,4,18,23,4,13,9,0,1,1.0,13,7,20,40,22,1,17,5,7,5,23,6,13,0.955,2018,0.0,1.0,Providence,0.0
91,02242018,bryant, hartford,15-10,1,15,8,23,37,22,2,23,13,6,10,28,3,10,7,1,0,0.875,10,8,18,27,17,1,21,17,7,18,28,3,7,0.867,2018,0.0,1.0,Hartford,0.0
92,02272018,bryant,boston u,7-8 ,1,7,4,11,35,20,0,28,17,8,15,19,2,8,5,0,1,0.625,8,7,15,29,13,0,26,13,9,4,19,1,13,0.737,2018,1.0,0.0,Bryant,1.0
93,03032018,bryant,yale,8-11,1,8,5,13,38,18,1,27,16,5,13,22,3,11,11,0,1,0.842,11,5,16,30,22,1,15,10,6,9,22,3,10,0.929,2018,1.0,0.0,Bryant,0.0
94,03102018,bryant,drexel,9-12,1,9,5,14,37,22,1,37,14,3,23,24,3,12,8,0,1,1.0,12,4,16,32,20,1,17,11,10,1,24,4,13,0.818,2018,1.0,0.0,Bryant,0.0
95,03172018,bryant,mount st marys,20-11,1,20,9,29,44,27,3,43,18,7,22,35,5,11,12,1,0,0.864,11,1,12,37,23,1,35,17,10,13,35,5,7,0.750,2018,1.0,0.0,Bryant,0.0
96,03242018,bryant, sacred heart,16-7,1,16,4,20,43,29,1,38,15,2,20,27,3,7,15,1,0,1.0,7,4,11,32,22,1,24,7,8,7,27,3,13,0.882,2018,0.0,1.0,Sacred Heart,0.0
